Subject ID,Flag,Name (gender after session),Session Date,Session Start,Session End,Location (run room),Condition,Experimenter,Credit Given?,1st craved,2nd craved,3rd craved,Strategy,Notes: Regulation,Notes: Purpose,Notes: Carry over effects,Notes: Choose,Notes: Effort,Notes: Images,Notes: Timing,Notes: Writing task B,Rating,Notes: Other
Example,,M,10/20/2015,4:30,5:45,107,B,AM,Y,cookies,donuts,pasta,LT: gaining weight/getting heavier,"Worked well, time allowed to regulate was short",,,"Chose 50/50; chose randomly, but felt like maybe picked look for ones he wanted to eat more",,Photos were good,,,,
HL001,,M,4/24/2018,11:00,12:45,107,B,GR,Y,pasta,fries,bbq,ST: feeling dissapointed in self and not exercising. ,"Worked well, he just worked out and said he would feel even more disappointed ",tried to think of gym to motivate himself to not want to eat the foods as much,"if the food was unhealthy, it was harder to not think of negative consequences when ""looking""",The most left preview image influenced his decision,pretty easy,food blended together after a while and was repetetive,fast but got used to it,both were neutral,,He missed a choose trial because he felt pressured
HL002,1,M,4/24/2018,1:15,2:55,107,C,HN,Y,bbq,pasta,burgers,"LT: diabetes, obesity, high colesterol, immobility","Was able to make them feel really real, felt like they worked",,Very strong opinion that the carry over was tough,,Wasn't tough,,Timing was good,,,"Missed first food image in runROC practice because of confusion over how to start task, MatLab froze during run2 so we restarted matlab and redid run2, very distracted participant but seemed to get more into it at the end"
HL003,,F,4/25/2018,9:30,11:03,107,B,GR,Y,veggies,fries,pasta,ST: thought of lactose intolerance for cheesy food. This made them less appetizing. Thought of fries being very salty and giving a bloated feeling. Also worked well,,Make a more conscious decision of consumption,"even on look trials, thought about negative consequences",alternated between look and regulate; preview influenced,"pretty easy, but ratings were fast sometimes",,timing was fast but adapted,"after thinking about it, the 2nd one seemed more positive, but initially they felt neutral",,"During rating: asked question of what if I am l am lacotse intolerant but still really want it? Researcher said to go with what feels right, but if you definitely won't eat it, press 0"
HL004,,M,4/25/2018,11:30,12:50,107,C,GR,Y,burgers,bbq,fries,"ST: too much food in short term makes him not feel like working out, lazy, bloated. He could really imagine the sensations. LT: thought of fried food leading to diabetes and not being able to play basketball later in life. Pictured what eating alot of what was on the screen would be like and then adding to that.",Really good looking food was hard to change how he felt,"seeing discipline, thinking about consciously consuming -> lookign at future self if he was to eat unhealthily",no. was very easy to compartimentalize,images influenced decisions,pretty easy,the look trials looked better to him. The previews made it easier to regulate if only one of them was appetizing,a bit fast and forgot it was not self paced,,,
HL005,,M,4/25/2018,1:30,3:00,107,A,JC,Y,pizza,cookies,fruit,"ST: feeling too full, LT: gaining weight","Feling ful, gaining weight, feeling sluggish, worked somewhat, did not seem entirely receptive to the regulation strategies.",To see if he could lessen his desires,a little difficult,"Preview didn't affect, made choice based on what he did before (ie. if he had just looked, he would choose to regulare","Slightly difficult, especially for regulation given the pace",Good variety,"A bit fast, got used to it by the 2nd trial",,,
HL006,,M,4/25/2018,3:15,,107,B,JC,Y,bbq,fruitdesserts,cheese,"ST: not liking taste, too much dairy (stomach problems)","Didn't regulare for most of it, only time when he regulated was when he didn't like the food/taste/type",To see how the consequences weigh against the benefits/desires,Hard to regulate without thinking about looking,alternated between look and regulate; preview influenced,"Instructions easy to follow, has ADHD, which made it hard to answer quick enough and keep up with the task",Looked good,"Pace was fine, got used to it by the end of the 1st trial","Easy to choose, he grew up in a family where its all about the process of eating rather than thinking about what you're eating",,"Admitted that he was not perceptive to the regulation trials, as he could not get past the desire to eat much of the food. He only regulated when he either didn't like the photo that was shown or when it was not worth the consequences of having lactose intolerance"
HL007,,F,4/26/2018,11:30,1:00,107,A,GR,Y,fries,fruitdesserts,pasta,"ST: thought of carbs for pasta and what it would feel like to eat too many carbs. Worked well. THought of sodium for fries, but was hard b/c she really loved fries.",Had easy time coming up with the negative consequences but she said he is generally not disciplined with food so it rarely affected her desire. She said it was too hypothetical of a situation for her to feel as though they were real. ,"to decrease desire for food, tried to be very objective and make more real, but it was difficult","It was easy for her to think only of sensations for look, but for regulate she said she first thought of sensations and then negative consequences","switched back and forth. If preview was appetizing, would choose look.","would zone out for a split second and then temporarily forget what look and regualte meant, but remembered the next second. It seemed like task switching was really challenging for her",Things looked more appetizing in lighter backgrounds,fast but got used to it,,,"Only chose regulate once for RUN1. Got confused on whether effort rating was how hard it was to choose the food or follow the instructions, and realized it was the latter"
HL008,,M,4/26/2018,1:15,2:35,107,A,HN,Y,chocolate,fries,pizza,LT: thought of health issues,Worked well,,Compartmentalized the different cues so there was no carry over,Chose randomly,,Thought food images would be more realistic if we didn't show such large quantities of the foods,fast but got used to it,,,"Started in room 107, computer broke so went to 119, 119 matlab couldn't use the rating task results for practice task (because rating was done in 107) so went back to 107"
HL009,,F,4/27/2018,9:00,10:30,107,B,DC,Y,bbq,cookies,fries,LT: interfere with nutritional tracking,Was effective; made the consequences feel real,See if it affected how much they desired the food,"If multiple regulation sets in a row, it was hard not to think of the consequences on the look trials, espeically if the look foods didn't look good; not as bad carry over effects for look to regulate; not as hard",Used preview images to determine; counted mentally to ensure doing each instruction the same number of times,"Hard to follow look instructions when multiple regulation sets (at least for the first image in the look set, then it got better for the other images)",NA,Felt fine,Not biased; easy choice because they are so into health,,
