roi,network
L_V1_ROI,Visual1
L_MST_ROI,Visual2
L_V6_ROI,Visual2
L_V2_ROI,Visual2
L_V3_ROI,Visual2
L_V4_ROI,Visual2
L_V8_ROI,Visual2
L_4_ROI,Somatomotor
L_3b_ROI,Somatomotor
L_FEF_ROI,Cingulo-Opercular
L_PEF_ROI,Dorsal-Attention
L_55b_ROI,Language
L_V3A_ROI,Visual2
L_RSC_ROI,Frontoparietal
L_POS2_ROI,Frontoparietal
L_V7_ROI,Visual2
L_IPS1_ROI,Visual2
L_FFC_ROI,Visual2
L_V3B_ROI,Visual2
L_LO1_ROI,Visual2
L_LO2_ROI,Visual2
L_PIT_ROI,Visual2
L_MT_ROI,Visual2
L_A1_ROI,Auditory
L_PSL_ROI,Language
L_SFL_ROI,Language
L_PCV_ROI,Posterior-Multimodal
L_STV_ROI,Language
L_7Pm_ROI,Frontoparietal
L_7m_ROI,Default
L_POS1_ROI,Default
L_23d_ROI,Default
L_v23ab_ROI,Default
L_d23ab_ROI,Default
L_31pv_ROI,Default
L_5m_ROI,Somatomotor
L_5mv_ROI,Cingulo-Opercular
L_23c_ROI,Cingulo-Opercular
L_5L_ROI,Somatomotor
L_24dd_ROI,Somatomotor
L_24dv_ROI,Somatomotor
L_7AL_ROI,Somatomotor
L_SCEF_ROI,Cingulo-Opercular
L_6ma_ROI,Cingulo-Opercular
L_7Am_ROI,Cingulo-Opercular
L_7PL_ROI,Dorsal-Attention
L_7PC_ROI,Somatomotor
L_LIPv_ROI,Visual2
L_VIP_ROI,Visual2
L_MIP_ROI,Dorsal-Attention
L_1_ROI,Somatomotor
L_2_ROI,Somatomotor
L_3a_ROI,Somatomotor
L_6d_ROI,Somatomotor
L_6mp_ROI,Somatomotor
L_6v_ROI,Somatomotor
L_p24pr_ROI,Cingulo-Opercular
L_33pr_ROI,Cingulo-Opercular
L_a24pr_ROI,Cingulo-Opercular
L_p32pr_ROI,Cingulo-Opercular
L_a24_ROI,Default
L_d32_ROI,Default
L_8BM_ROI,Frontoparietal
L_p32_ROI,Default
L_10r_ROI,Default
L_47m_ROI,Default
L_8Av_ROI,Default
L_8Ad_ROI,Default
L_9m_ROI,Default
L_8BL_ROI,Default
L_9p_ROI,Default
L_10d_ROI,Default
L_8C_ROI,Frontoparietal
L_44_ROI,Language
L_45_ROI,Language
L_47l_ROI,Default
