"subjectID","trial","roi","meanPE","sdPE","run"
"FP001",1,"pgACC",-0.750081,4.53611,"run1"
"FP001",2,"pgACC",-0.304892,4.0072,"run1"
"FP001",3,"pgACC",-0.188714,2.71472,"run1"
"FP001",4,"pgACC",0.861375,6.66005,"run1"
"FP001",5,"pgACC",1.43938,4.17332,"run1"
"FP001",6,"pgACC",1.33139,6.35504,"run1"
"FP001",7,"pgACC",-0.614344,5.47808,"run1"
"FP001",8,"pgACC",-1.64115,4.50307,"run1"
"FP001",9,"pgACC",-0.610338,6.77947,"run1"
"FP001",10,"pgACC",-0.426043,6.75487,"run1"
"FP001",11,"pgACC",-0.821283,3.53664,"run1"
"FP001",12,"pgACC",1.21752,4.30551,"run1"
"FP001",13,"pgACC",-0.153378,5.47221,"run1"
"FP001",14,"pgACC",-1.72888,7.30938,"run1"
"FP001",15,"pgACC",0.292456,7.28586,"run1"
"FP001",16,"pgACC",-0.581363,3.90084,"run1"
"FP001",17,"pgACC",0.200243,6.95011,"run1"
"FP001",18,"pgACC",0.502427,4.82616,"run1"
"FP001",19,"pgACC",-1.46608,8.77515,"run1"
"FP001",20,"pgACC",-0.559049,4.85338,"run1"
"FP001",21,"pgACC",-0.330747,6.27035,"run1"
"FP001",22,"pgACC",-0.990682,4.01044,"run1"
"FP001",23,"pgACC",0.00901597,3.52543,"run1"
"FP001",24,"pgACC",-0.0248063,4.66973,"run1"
"FP001",25,"pgACC",-1.96155,6.82861,"run1"
"FP001",26,"pgACC",1.63404,5.95308,"run1"
"FP001",27,"pgACC",-0.651307,5.82099,"run1"
"FP001",28,"pgACC",0.203131,4.15586,"run1"
"FP001",29,"pgACC",-0.667634,3.30514,"run1"
"FP001",30,"pgACC",1.2596,6.2543,"run1"
"FP001",31,"pgACC",-1.02311,3.23334,"run1"
"FP001",32,"pgACC",-0.310488,2.66608,"run1"
"FP001",33,"pgACC",-0.954987,3.85685,"run1"
"FP001",34,"pgACC",0.788524,5.14218,"run1"
"FP001",35,"pgACC",0.381697,5.26988,"run1"
"FP001",36,"pgACC",-0.703252,3.31315,"run1"
"FP001",1,"pgACC",-2.60628,8.31518,"run2"
"FP001",2,"pgACC",-0.226224,5.70675,"run2"
"FP001",3,"pgACC",-0.238121,4.89252,"run2"
"FP001",4,"pgACC",-2.06254,6.72471,"run2"
"FP001",5,"pgACC",-0.770738,5.61271,"run2"
"FP001",6,"pgACC",-0.586812,8.3333,"run2"
"FP001",7,"pgACC",-0.755828,2.5558,"run2"
"FP001",8,"pgACC",-0.179386,7.75348,"run2"
"FP001",9,"pgACC",0.338378,6.58551,"run2"
"FP001",10,"pgACC",-0.43677,4.12992,"run2"
"FP001",11,"pgACC",-0.000390333,2.51973,"run2"
"FP001",12,"pgACC",0.377244,3.06658,"run2"
"FP001",13,"pgACC",-0.908986,5.82857,"run2"
