"subjectID","trial","roi","meanPE","sdPE","run"
"FP001",1,"pgACC",-0.709459,4.44939,"run1"
"FP001",2,"pgACC",-0.372753,4.81379,"run1"
"FP001",3,"pgACC",-0.232582,4.52916,"run1"
"FP001",4,"pgACC",0.656313,5.51732,"run1"
"FP001",5,"pgACC",1.54788,4.21471,"run1"
"FP001",6,"pgACC",0.890338,4.84946,"run1"
"FP001",7,"pgACC",-0.47555,4.65618,"run1"
"FP001",8,"pgACC",-1.57486,4.54668,"run1"
"FP001",9,"pgACC",-0.629632,5.22911,"run1"
"FP001",10,"pgACC",0.0155314,4.52798,"run1"
"FP001",11,"pgACC",-1.18229,4.68975,"run1"
"FP001",12,"pgACC",1.12556,4.72278,"run1"
"FP001",13,"pgACC",-0.394535,4.64728,"run1"
"FP001",14,"pgACC",-1.5681,5.8499,"run1"
"FP001",15,"pgACC",-0.109353,4.47121,"run1"
"FP001",16,"pgACC",-0.789551,4.5602,"run1"
"FP001",17,"pgACC",0.012587,4.51095,"run1"
"FP001",18,"pgACC",0.459777,4.2171,"run1"
"FP001",19,"pgACC",-1.23422,7.0005,"run1"
"FP001",20,"pgACC",-0.512065,5.22996,"run1"
"FP001",21,"pgACC",-0.309943,5.80145,"run1"
"FP001",22,"pgACC",-1.12953,4.8549,"run1"
"FP001",23,"pgACC",-0.0335242,4.92517,"run1"
"FP001",24,"pgACC",-0.0537546,4.93252,"run1"
"FP001",25,"pgACC",-1.3425,4.78991,"run1"
"FP001",26,"pgACC",1.22406,5.19548,"run1"
"FP001",27,"pgACC",-0.583059,4.86849,"run1"
"FP001",28,"pgACC",0.274538,5.23799,"run1"
"FP001",29,"pgACC",-1.00353,4.45648,"run1"
"FP001",30,"pgACC",0.903341,5.21468,"run1"
"FP001",31,"pgACC",-1.11108,4.52075,"run1"
"FP001",32,"pgACC",-0.547422,4.45054,"run1"
"FP001",33,"pgACC",-1.04483,5.07735,"run1"
"FP001",34,"pgACC",0.782032,4.40696,"run1"
"FP001",35,"pgACC",0.603969,5.05271,"run1"
"FP001",36,"pgACC",-0.823799,4.84419,"run1"
"FP001",1,"pgACC",-1.78575,6.02386,"run2"
"FP001",2,"pgACC",0.27313,4.98077,"run2"
"FP001",3,"pgACC",0.0140516,5.00211,"run2"
"FP001",4,"pgACC",-1.52901,4.99574,"run2"
"FP001",5,"pgACC",-0.552616,4.84557,"run2"
"FP001",6,"pgACC",-0.236153,4.81872,"run2"
"FP001",7,"pgACC",-1.82875,5.04161,"run2"
"FP001",8,"pgACC",-1.10809,5.40092,"run2"
"FP001",9,"pgACC",-0.220692,5.18926,"run2"
"FP001",10,"pgACC",-0.852344,4.68097,"run2"
"FP001",11,"pgACC",-0.409552,5.11382,"run2"
"FP001",12,"pgACC",0.834119,4.80796,"run2"
"FP001",13,"pgACC",-0.270603,5.35534,"run2"
"FP001",14,"pgACC",1.64229,5.04627,"run2"
"FP001",15,"pgACC",-0.545774,5.49035,"run2"
"FP001",16,"pgACC",0.956372,5.61288,"run2"
"FP001",17,"pgACC",1.00243,4.61638,"run2"
"FP001",18,"pgACC",-0.165536,4.69412,"run2"
"FP001",19,"pgACC",-1.92811,4.74775,"run2"
"FP001",20,"pgACC",-2.20044,5.56714,"run2"
"FP001",21,"pgACC",-0.27672,5.02528,"run2"
"FP001",22,"pgACC",-1.64595,4.73766,"run2"
"FP001",23,"pgACC",1.04875,4.29412,"run2"
"FP001",24,"pgACC",1.40633,4.99793,"run2"
"FP001",25,"pgACC",-1.76222,5.50307,"run2"
"FP001",26,"pgACC",-3.78126,10.2265,"run2"
"FP001",27,"pgACC",-0.686999,6.82917,"run2"
"FP001",28,"pgACC",-3.52857,7.14962,"run2"
"FP001",29,"pgACC",-0.0547034,5.02846,"run2"
"FP001",30,"pgACC",-0.256581,5.71537,"run2"
"FP001",31,"pgACC",-2.99598,6.40317,"run2"
"FP001",32,"pgACC",-0.355112,7.94244,"run2"
"FP001",33,"pgACC",-0.770509,7.90999,"run2"
"FP001",34,"pgACC",-2.08822,11.5891,"run2"
"FP001",35,"pgACC",-0.116207,11.0773,"run2"
"FP001",36,"pgACC",0.687961,13.754,"run2"
"FP001",1,"vmPFC",-1.19828,4.11063,"run1"
"FP001",2,"vmPFC",-0.962184,4.69638,"run1"
"FP001",3,"vmPFC",0.184591,4.28904,"run1"
"FP001",4,"vmPFC",1.01553,4.26898,"run1"
"FP001",5,"vmPFC",1.75023,3.685,"run1"
"FP001",6,"vmPFC",2.09385,4.27936,"run1"
"FP001",7,"vmPFC",0.642627,4.50543,"run1"
"FP001",8,"vmPFC",-2.12753,3.63184,"run1"
"FP001",9,"vmPFC",-0.268695,4.69452,"run1"
"FP001",10,"vmPFC",-0.250462,3.98006,"run1"
"FP001",11,"vmPFC",-0.850003,4.20175,"run1"
"FP001",12,"vmPFC",1.60481,4.09775,"run1"
"FP001",13,"vmPFC",0.352616,3.8437,"run1"
"FP001",14,"vmPFC",-1.22853,4.26415,"run1"
"FP001",15,"vmPFC",0.00280102,3.87615,"run1"
"FP001",16,"vmPFC",0.0869302,4.27548,"run1"
"FP001",17,"vmPFC",1.13207,3.83387,"run1"
"FP001",18,"vmPFC",0.0177624,4.13382,"run1"
"FP001",19,"vmPFC",-1.66768,6.03103,"run1"
"FP001",20,"vmPFC",-0.680523,4.94926,"run1"
"FP001",21,"vmPFC",-0.430802,4.62133,"run1"
"FP001",22,"vmPFC",-1.14416,4.65816,"run1"
"FP001",23,"vmPFC",0.502669,3.58998,"run1"
"FP001",24,"vmPFC",0.0574278,4.31491,"run1"
"FP001",25,"vmPFC",0.0809192,4.53456,"run1"
"FP001",26,"vmPFC",2.21647,5.18069,"run1"
"FP001",27,"vmPFC",-0.0818606,4.5573,"run1"
"FP001",28,"vmPFC",-0.148374,4.44875,"run1"
"FP001",29,"vmPFC",-0.981112,3.56632,"run1"
"FP001",30,"vmPFC",1.10647,4.74652,"run1"
"FP001",31,"vmPFC",-0.493198,3.84972,"run1"
"FP001",32,"vmPFC",-0.230206,4.57079,"run1"
"FP001",33,"vmPFC",-0.382618,3.898,"run1"
"FP001",34,"vmPFC",1.76654,4.30277,"run1"
"FP001",35,"vmPFC",2.29387,4.62687,"run1"
"FP001",36,"vmPFC",-0.516154,4.79597,"run1"
"FP001",1,"vmPFC",-1.89085,5.85101,"run2"
"FP001",2,"vmPFC",-0.313329,4.06135,"run2"
"FP001",3,"vmPFC",-0.177685,4.19697,"run2"
"FP001",4,"vmPFC",-0.942709,4.70236,"run2"
"FP001",5,"vmPFC",-0.512462,4.57355,"run2"
"FP001",6,"vmPFC",0.732268,4.07623,"run2"
"FP001",7,"vmPFC",-0.628607,5.01775,"run2"
"FP001",8,"vmPFC",-1.49886,4.67735,"run2"
"FP001",9,"vmPFC",0.367979,5.05883,"run2"
"FP001",10,"vmPFC",-0.545927,4.47924,"run2"
"FP001",11,"vmPFC",-0.473918,5.20625,"run2"
"FP001",12,"vmPFC",1.81376,4.55024,"run2"
"FP001",13,"vmPFC",-0.308209,4.81883,"run2"
"FP001",14,"vmPFC",0.875754,5.19006,"run2"
"FP001",15,"vmPFC",-0.554718,5.9957,"run2"
"FP001",16,"vmPFC",-0.526981,5.01988,"run2"
"FP001",17,"vmPFC",0.252511,4.8664,"run2"
"FP001",18,"vmPFC",-0.360426,4.17716,"run2"
"FP001",19,"vmPFC",-1.75805,4.32932,"run2"
"FP001",20,"vmPFC",-2.33643,4.66143,"run2"
"FP001",21,"vmPFC",-0.00876351,4.86017,"run2"
"FP001",22,"vmPFC",-1.35259,4.287,"run2"
"FP001",23,"vmPFC",0.990761,3.9485,"run2"
"FP001",24,"vmPFC",1.72868,4.32769,"run2"
"FP001",25,"vmPFC",-0.0753523,5.01873,"run2"
"FP001",26,"vmPFC",-1.96197,12.1874,"run2"
"FP001",27,"vmPFC",-0.942316,5.99957,"run2"
"FP001",28,"vmPFC",-3.17523,6.77202,"run2"
"FP001",29,"vmPFC",0.225149,4.91108,"run2"
"FP001",30,"vmPFC",0.795184,5.05699,"run2"
"FP001",31,"vmPFC",-3.79904,7.08995,"run2"
"FP001",32,"vmPFC",-0.0790917,7.04116,"run2"
"FP001",33,"vmPFC",-1.00185,9.13768,"run2"
"FP001",34,"vmPFC",-3.13708,12.1075,"run2"
"FP001",35,"vmPFC",-0.965421,11.4243,"run2"
"FP001",36,"vmPFC",-0.917213,12.8515,"run2"
"FP001",1,"VS",0.252762,7.53448,"run1"
"FP001",2,"VS",-0.378725,8.67344,"run1"
"FP001",3,"VS",-0.179327,6.92008,"run1"
"FP001",4,"VS",0.692179,6.66262,"run1"
"FP001",5,"VS",-0.393236,7.03075,"run1"
"FP001",6,"VS",-1.42699,9.19162,"run1"
"FP001",7,"VS",0.445366,7.6369,"run1"
"FP001",8,"VS",-1.3054,6.29336,"run1"
"FP001",9,"VS",-0.0721026,7.03472,"run1"
"FP001",10,"VS",0.524334,5.17706,"run1"
"FP001",11,"VS",0.558507,6.1444,"run1"
"FP001",12,"VS",0.139081,6.92052,"run1"
"FP001",13,"VS",0.140332,6.44625,"run1"
"FP001",14,"VS",-0.239151,8.18925,"run1"
"FP001",15,"VS",0.323247,6.18904,"run1"
"FP001",16,"VS",-0.272288,7.90635,"run1"
"FP001",17,"VS",0.0853179,5.57035,"run1"
"FP001",18,"VS",0.669817,6.37296,"run1"
"FP001",19,"VS",0.60607,10.1099,"run1"
"FP001",20,"VS",-0.382299,7.32866,"run1"
"FP001",21,"VS",0.112604,7.04695,"run1"
"FP001",22,"VS",-0.244702,10.77,"run1"
"FP001",23,"VS",1.33074,6.93228,"run1"
"FP001",24,"VS",-1.42746,10.1392,"run1"
"FP001",25,"VS",-0.0847844,7.29449,"run1"
"FP001",26,"VS",0.422876,6.31556,"run1"
"FP001",27,"VS",-0.0439813,7.45737,"run1"
"FP001",28,"VS",0.68162,7.67594,"run1"
"FP001",29,"VS",0.614999,6.50541,"run1"
"FP001",30,"VS",0.441297,9.82714,"run1"
"FP001",31,"VS",-0.241467,6.83134,"run1"
"FP001",32,"VS",-0.372711,5.41348,"run1"
"FP001",33,"VS",-0.84378,8.62131,"run1"
"FP001",34,"VS",0.635548,6.69137,"run1"
"FP001",35,"VS",-0.317872,7.14313,"run1"
"FP001",36,"VS",-0.470617,7.81008,"run1"
"FP001",1,"VS",-1.20476,9.49639,"run2"
"FP001",2,"VS",-0.309913,6.84716,"run2"
"FP001",3,"VS",-1.10619,7.2923,"run2"
"FP001",4,"VS",0.0154724,6.63955,"run2"
"FP001",5,"VS",-0.401904,7.23934,"run2"
"FP001",6,"VS",-0.10008,6.24608,"run2"
"FP001",7,"VS",-0.84558,6.79187,"run2"
"FP001",8,"VS",0.419039,6.92752,"run2"
"FP001",9,"VS",0.16711,6.94748,"run2"
"FP001",10,"VS",-0.431238,7.0753,"run2"
"FP001",11,"VS",-0.957409,9.10232,"run2"
"FP001",12,"VS",1.16453,6.46564,"run2"
"FP001",13,"VS",-1.74621,7.54249,"run2"
"FP001",14,"VS",0.772335,7.15592,"run2"
"FP001",15,"VS",-1.52114,7.42726,"run2"
"FP001",16,"VS",-0.155598,6.4598,"run2"
"FP001",17,"VS",0.0366932,6.9892,"run2"
"FP001",18,"VS",-0.47509,9.97995,"run2"
"FP001",19,"VS",-0.338589,7.43241,"run2"
"FP001",20,"VS",0.489115,9.13932,"run2"
"FP001",21,"VS",-0.762915,8.23044,"run2"
