"trial","condition","onset","RT","response","reversed","syllables","item","subjectID","subNum","run","instruction","construct","RT_original","responseNum","responseYN","valence"
1,3,5.053,0.100937598603163,"yes",0,2,"nervous","FP001","001","run1","self","ill-being",1.881,1,"yes","negative"
2,3,9.996,0.378198735066685,NA,0,3,"unhappy","FP001","001","run1","self","ill-being",2.482,NA,NA,"negative"
3,2,15.092,0.709824435545369,"yes",0,4,"feel encouraged","FP001","001","run1","self","social",3.458,1,"yes","positive"
4,2,20.047,-0.0564968649603547,"yes",0,3,"have good friends","FP001","001","run1","self","social",1.607,1,"yes","positive"
5,1,25.062,0.154249057146951,"yes",0,6,"live a meaningful life","FP001","001","run1","self","well-being",1.984,1,"yes","positive"
6,1,30.012,-0.154486424502662,"yes",0,2,"happy","FP001","001","run1","self","well-being",1.457,1,"yes","positive"
7,4,44.712,0.014940640945506,"yes",0,2,"joyful","FP001","001","run1","change","well-being",1.726,1,"yes","positive"
8,4,49.651,0.159778098626097,"yes",0,3,"capable","FP001","001","run1","change","well-being",1.995,1,"yes","positive"
9,6,54.745,-0.0984343953777516,"yes",0,3,"overwhelmed","FP001","001","run1","change","ill-being",1.541,1,"yes","negative"
10,6,59.691,-0.313338139187156,"yes",1,2,"lonely","FP001","001","run1","change","social",1.243,0,"no","negative"
11,5,64.861,0.445955279898457,"yes",0,3,"am cared for","FP001","001","run1","change","social",2.656,1,"yes","positive"
12,6,69.845,0.24708183053668,"yes",0,2,"anxious","FP001","001","run1","change","ill-being",2.177,1,"yes","negative"
13,3,84.894,0.00211247669139369,"yes",0,2,"tired","FP001","001","run1","self","ill-being",1.704,1,"yes","negative"
14,3,89.845,-0.0906774075491803,"no",0,2,"depressed","FP001","001","run1","self","ill-being",1.553,0,"no","negative"
15,1,94.829,-0.341072380083075,"yes",0,3,"like myself","FP001","001","run1","self","well-being",1.209,1,"yes","positive"
16,1,99.92,0.295937613656889,"no",0,2,"cheerful","FP001","001","run1","self","well-being",2.286,0,"no","positive"
17,2,105.258,-0.256269118812605,"yes",0,5,"comfortable with friends","FP001","001","run1","self","social",1.316,1,"yes","positive"
18,3,110.244,0.031032942234261,"no",0,5,"feel invisible","FP001","001","run1","self","ill-being",1.754,0,"no","negative"
19,6,124.939,-0.0639922154789224,"yes",0,1,"stressed","FP001","001","run1","change","ill-being",1.595,1,"yes","negative"
20,4,130.109,0.258045850828594,"yes",0,4,"optimistic","FP001","001","run1","change","well-being",2.201,1,"yes","positive"
21,5,135.094,0.0745423145362083,"yes",1,3,"neglected","FP001","001","run1","change","social",1.832,0,"no","negative"
22,5,140.078,0.35784801238819,"yes",0,6,"have warm relationships","FP001","001","run1","change","social",2.432,1,"yes","positive"
23,4,145.061,0.493381921663517,"yes",0,3,"achieve goals","FP001","001","run1","change","well-being",2.785,1,"yes","positive"
24,6,150.006,0.235531690583808,"yes",0,5,"feel unimportant","FP001","001","run1","change","ill-being",2.152,1,"yes","negative"
25,2,164.711,-0.224116816546724,"yes",0,5,"have support systems","FP001","001","run1","self","social",1.359,1,"yes","positive"
26,1,169.654,0.00679632600382007,"yes",0,6,"live a purposeful life","FP001","001","run1","self","well-being",1.712,1,"yes","positive"
27,1,174.594,-0.0484398024714375,"yes",0,5,"satisfied with life","FP001","001","run1","self","well-being",1.62,1,"yes","positive"
28,3,179.577,0.395375111011593,"no",0,4,"feel rejected","FP001","001","run1","self","ill-being",2.525,0,"no","negative"
29,2,184.594,0.465344403334298,"no",1,4,"isolated","FP001","001","run1","self","social",2.708,1,"yes","negative"
30,2,189.535,-0.0367796519540376,"no",1,5,"alienated","FP001","001","run1","self","social",1.639,1,"yes","negative"
31,5,204.277,0.546522700500753,"yes",0,2,"trusted","FP001","001","run1","change","social",2.937,1,"yes","positive"
32,5,209.215,0.75643646019721,"no",0,1,"loved","FP001","001","run1","change","social",3.623,0,"no","positive"
33,6,214.236,0.487981368483517,"yes",0,5,"unable to cope","FP001","001","run1","change","ill-being",2.77,1,"yes","negative"
34,5,219.176,0.0423709321716575,"yes",0,2,"well-liked","FP001","001","run1","change","social",1.774,1,"yes","positive"
35,4,224.51,0.129758037138655,"yes",0,5,"full of energy","FP001","001","run1","change","well-being",1.936,1,"yes","positive"
