"construct","instruction","subjectID","sum","n","percent"
"ill-being","change","FP001",12,12,100
"ill-being","change","FP002",12,12,100
"ill-being","change","FP003",12,12,100
"ill-being","change","FP004",11,12,91.6666666666667
"ill-being","change","FP005",11,12,91.6666666666667
"ill-being","change","FP006",8,12,66.6666666666667
"ill-being","change","FP007",11,12,91.6666666666667
"ill-being","change","FP008",12,12,100
"ill-being","change","FP009",11,12,91.6666666666667
"ill-being","change","FP010",11,12,91.6666666666667
"ill-being","change","FP011",11,12,91.6666666666667
"ill-being","change","FP012",4,12,33.3333333333333
"ill-being","change","FP013",12,12,100
"ill-being","change","FP014",8,12,66.6666666666667
"ill-being","change","FP015",12,12,100
"ill-being","change","FP016",9,12,75
"ill-being","change","FP017",12,12,100
"ill-being","change","FP018",9,12,75
"ill-being","change","FP019",12,12,100
"ill-being","change","FP020",7,12,58.3333333333333
"ill-being","change","FP021",10,12,83.3333333333333
"ill-being","change","FP022",12,12,100
"ill-being","change","FP023",8,12,66.6666666666667
"ill-being","change","FP024",11,12,91.6666666666667
"ill-being","change","FP025",10,12,83.3333333333333
"ill-being","change","FP026",11,12,91.6666666666667
"ill-being","change","FP027",10,12,83.3333333333333
"ill-being","change","FP028",8,12,66.6666666666667
"ill-being","change","FP029",10,12,83.3333333333333
"ill-being","change","FP030",8,12,66.6666666666667
"ill-being","change","FP031",8,12,66.6666666666667
"ill-being","change","FP032",10,12,83.3333333333333
"ill-being","change","FP033",11,12,91.6666666666667
"ill-being","change","FP034",11,12,91.6666666666667
"ill-being","change","FP035",10,12,83.3333333333333
"ill-being","change","FP036",10,12,83.3333333333333
"ill-being","change","FP037",10,12,83.3333333333333
"ill-being","change","FP038",12,12,100
"ill-being","change","FP039",11,12,91.6666666666667
"ill-being","change","FP040",4,12,33.3333333333333
"ill-being","change","FP041",12,12,100
"ill-being","change","FP042",10,12,83.3333333333333
"ill-being","change","FP043",12,12,100
"ill-being","change","FP044",7,12,58.3333333333333
"ill-being","change","FP045",11,12,91.6666666666667
"ill-being","change","FP046",9,12,75
"ill-being","change","FP047",8,12,66.6666666666667
"ill-being","change","FP048",12,12,100
"ill-being","change","FP049",9,12,75
"ill-being","change","FP050",9,12,75
"ill-being","change","FP051",8,12,66.6666666666667
"ill-being","change","FP052",10,12,83.3333333333333
"ill-being","change","FP053",12,12,100
"ill-being","change","FP054",9,12,75
"ill-being","change","FP055",11,12,91.6666666666667
"ill-being","change","FP056",11,12,91.6666666666667
"ill-being","change","FP058",5,12,41.6666666666667
"ill-being","change","FP059",10,12,83.3333333333333
"ill-being","change","FP060",6,12,50
"ill-being","change","FP061",11,12,91.6666666666667
"ill-being","change","FP062",6,12,50
"ill-being","change","FP063",12,12,100
"ill-being","change","FP064",11,12,91.6666666666667
