"trial","condition","onset","RT","response","reversed","syllables","item","subjectID","run","instruction","construct"
1,3,5.053,1.881,1,0,2,"nervous","FP001","run1","self","ill-being"
2,3,9.996,2.482,0,0,3,"unhappy","FP001","run1","self","ill-being"
3,2,15.092,3.458,1,0,4,"feel encouraged","FP001","run1","self","social"
4,2,20.047,1.607,1,0,3,"have good friends","FP001","run1","self","social"
5,1,25.062,1.984,1,0,6,"live a meaningful life","FP001","run1","self","well-being"
6,1,30.012,1.457,1,0,2,"happy","FP001","run1","self","well-being"
7,4,44.712,1.726,1,0,2,"joyful","FP001","run1","change","well-being"
8,4,49.651,1.995,1,0,3,"capable","FP001","run1","change","well-being"
9,6,54.745,1.541,1,0,3,"overwhelmed","FP001","run1","change","ill-being"
10,6,59.691,1.243,1,0,2,"lonely","FP001","run1","change","ill-being"
11,5,64.861,2.656,1,0,3,"am cared for","FP001","run1","change","social"
12,6,69.845,2.177,1,0,2,"anxious","FP001","run1","change","ill-being"
13,3,84.894,1.704,1,0,2,"tired","FP001","run1","self","ill-being"
14,3,89.845,1.553,2,0,2,"depressed","FP001","run1","self","ill-being"
15,1,94.829,1.209,1,0,3,"like myself","FP001","run1","self","well-being"
16,1,99.92,2.286,2,0,2,"cheerful","FP001","run1","self","well-being"
17,2,105.258,1.316,1,0,5,"comfortable with friends","FP001","run1","self","social"
18,3,110.244,1.754,2,0,5,"feel invisible","FP001","run1","self","ill-being"
19,6,124.939,1.595,1,0,1,"stressed","FP001","run1","change","ill-being"
20,4,130.109,2.201,1,0,4,"optimistic","FP001","run1","change","well-being"
21,5,135.094,1.832,1,1,3,"neglected","FP001","run1","change","social"
22,5,140.078,2.432,1,0,6,"have warm relationships","FP001","run1","change","social"
23,4,145.061,2.785,1,0,3,"achieve goals","FP001","run1","change","well-being"
24,6,150.006,2.152,1,0,5,"feel unimportant","FP001","run1","change","ill-being"
25,2,164.711,1.359,1,0,5,"have support systems","FP001","run1","self","social"
26,1,169.654,1.712,1,0,6,"live a purposeful life","FP001","run1","self","well-being"
27,1,174.594,1.62,1,0,5,"satisfied with life","FP001","run1","self","well-being"
28,3,179.577,2.525,2,0,4,"feel rejected","FP001","run1","self","ill-being"
29,2,184.594,2.708,2,1,4,"isolated","FP001","run1","self","social"
30,2,189.535,1.639,2,1,5,"alienated","FP001","run1","self","social"
31,5,204.277,2.937,1,0,2,"trusted","FP001","run1","change","social"
32,5,209.215,3.623,2,0,1,"loved","FP001","run1","change","social"
33,6,214.236,2.77,1,0,5,"unable to cope","FP001","run1","change","ill-being"
34,5,219.176,1.774,1,0,2,"well-liked","FP001","run1","change","social"
35,4,224.51,1.936,1,0,5,"full of energy","FP001","run1","change","well-being"
36,4,229.461,3.217,1,0,1,"proud","FP001","run1","change","well-being"
1,3,5.049,1.731,2,0,3,"overwhelmed","FP001","run2","self","ill-being"
2,3,10.035,2.282,1,0,2,"lonely","FP001","run2","self","ill-being"
3,2,15.356,2.129,1,0,3,"am cared for","FP001","run2","self","social"
4,2,20.341,1.608,2,1,3,"neglected","FP001","run2","self","social"
5,1,25.429,1.919,2,0,2,"joyful","FP001","run2","self","well-being"
6,1,30.374,1.11,1,0,3,"capable","FP001","run2","self","well-being"
7,4,45.191,4.07,1,0,6,"live a meaningful life","FP001","run2","change","well-being"
8,4,50.13,1.482,1,0,2,"happy","FP001","run2","change","well-being"
9,6,55.151,1.518,1,0,2,"nervous","FP001","run2","change","ill-being"
10,6,60.171,2.354,1,0,3,"unhappy","FP001","run2","change","ill-being"
11,5,65.19,4.678,2,0,4,"feel encouraged","FP001","run2","change","social"
12,6,70.273,3.348,1,0,2,"tired","FP001","run2","change","ill-being"
13,3,84.973,1.719,2,0,2,"anxious","FP001","run2","self","ill-being"
