"subjectID","wave","task","run","nVols","percent"
"FP001",1,"SVC",1,0,0
"FP001",1,"SVC",2,5,4.1
"FP002",1,"SVC",1,0,0
"FP002",1,"SVC",2,0,0
"FP003",1,"SVC",1,0,0
"FP003",1,"SVC",2,0,0
"FP004",1,"SVC",1,0,0
"FP004",1,"SVC",2,0,0
"FP005",1,"SVC",1,5,4.1
"FP005",1,"SVC",2,15,12.3
"FP006",1,"SVC",1,0,0
"FP006",1,"SVC",2,0,0
"FP007",1,"SVC",1,0,0
"FP007",1,"SVC",2,1,0.8
"FP008",1,"SVC",1,1,0.8
"FP008",1,"SVC",2,0,0
"FP009",1,"SVC",1,0,0
"FP009",1,"SVC",2,2,1.6
"FP010",1,"SVC",1,0,0
"FP010",1,"SVC",2,0,0
"FP011",1,"SVC",1,0,0
"FP011",1,"SVC",2,0,0
"FP012",1,"SVC",1,0,0
"FP012",1,"SVC",2,2,1.6
"FP013",1,"SVC",1,9,7.4
"FP013",1,"SVC",2,10,8.2
"FP014",1,"SVC",1,0,0
"FP014",1,"SVC",2,1,0.8
"FP015",1,"SVC",1,0,0
"FP015",1,"SVC",2,0,0
"FP016",1,"SVC",1,0,0
"FP016",1,"SVC",2,0,0
"FP017",1,"SVC",1,0,0
"FP017",1,"SVC",2,1,0.8
"FP018",1,"SVC",1,2,1.6
"FP018",1,"SVC",2,11,9
"FP019",1,"SVC",1,0,0
"FP019",1,"SVC",2,5,4.1
"FP020",1,"SVC",1,0,0
"FP020",1,"SVC",2,0,0
"FP021",1,"SVC",1,0,0
"FP021",1,"SVC",2,0,0
"FP022",1,"SVC",1,0,0
"FP022",1,"SVC",2,0,0
"FP023",1,"SVC",1,2,1.6
"FP023",1,"SVC",2,0,0
"FP024",1,"SVC",1,0,0
"FP024",1,"SVC",2,0,0
"FP025",1,"SVC",1,0,0
"FP025",1,"SVC",2,4,3.3
"FP026",1,"SVC",1,0,0
"FP026",1,"SVC",2,4,3.3
"FP027",1,"SVC",1,3,2.5
"FP027",1,"SVC",2,2,1.6
"FP028",1,"SVC",1,7,5.7
"FP028",1,"SVC",2,18,14.8
"FP029",1,"SVC",1,4,3.3
"FP029",1,"SVC",2,8,6.6
"FP030",1,"SVC",1,3,2.5
"FP030",1,"SVC",2,2,1.6
"FP031",1,"SVC",1,4,3.3
"FP031",1,"SVC",2,2,1.6
"FP032",1,"SVC",1,0,0
"FP032",1,"SVC",2,0,0
"FP033",1,"SVC",1,0,0
"FP033",1,"SVC",2,0,0
"FP034",1,"SVC",1,0,0
"FP034",1,"SVC",2,0,0
"FP035",1,"SVC",1,0,0
